
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,1005.1,1006.1,1009.2,1009.1,1011.8,1012.6,1013.9,1014.5,1013.0,1011.5,1009.7,1007.4
2015,1006.5,1007.9,1008.9,1010.5,1013.1,1013.4,1015.0,1014.7,1013.7,1013.6,1009.5,1007.5
2016,1010.0,1008.7,1009.3,1010.9,1011.0,1012.3,1013.1,1012.4,1011.0,1010.4,1008.8,1006.7
2017,1006.0,1007.1,1007.4,1009.7,1011.7,1013.5,1013.2,1013.0,1012.3,1009.4,1007.4,1007.3
2018,1004.8,1007.0,1006.1,1009.5,1012.2,1013.7,1012.8,1013.1,1012.3,1011.0,1009.4,1006.2
2019,1006.8,1009.0,1008.4,1010.1,1012.3,1013.8,1014.2,1014.3,1014.5,1011.4,1009.7,1008.4
2020,1007.2,1007.4,1009.1,1010.5,1012.4,1012.9,1012.7,1012.5,1011.6,1010.0,1009.0,1006.5
2021,1005.6,1005.0,1008.1,1009.7,1011.3,1013.1,1012.3,1013.3,1012.0,1009.7,1008.3,1006.5
2022,1006.5,1006.9,1007.5,1008.5,1010.4,1011.7,1013.1,1012.2,1011.3,1009.3,1008.6,1005.6
2023,1006.0,1005.3,1008.4,1009.1,1013.1,1012.8,1014.1,1015.1,1013.6,1012.9,1010.2,1008.0
2024,1006.2,1008.2,1008.3,1010.0,1011.6,1013.7,1014.1,1013.4,1011.9,1010.6,1009.3,1006.3
2025,1007.0,1006.8,1007.5,1009.0,1011.4,1013.4,1012.5,1013.5,1012.6,1010.3,1007.7,1006.6
